timestamp,particle_position,user_goal,velocity,collision,success
0.0010528564453125,"[50.807750994296555, 50.19544160444398]","[54.03875501623702, 50.97720807451064]","[80.77509942965555, 19.544160444397864]",False,True
0.053418874740600586,"[52.25322314083742, 50.550829015591496]","[58.0351117823144, 51.9723787252469]","[144.5472146540864, 35.53874111475198]",False,True
0.10385513305664062,"[54.21036258123723, 51.0344438339685]","[62.038920417945015, 52.96890319691006]","[195.7139440399806, 48.36148183770076]",False,True
0.15482378005981445,"[56.57743267321024, 51.63742056282251]","[66.04571314482439, 54.04932760384115]","[236.7070091973015, 60.297672885400914]",False,True
0.20484399795532227,"[59.27356607777973, 52.33593015121518]","[70.05809983760159, 55.12996867979167]","[269.6133404569495, 69.85095883926658]",False,True
0.25484275817871094,"[62.23284697975673, 53.13758858620639]","[74.06997077677528, 56.34422256576786]","[295.92809019769965, 80.16584349912142]",False,True
0.30484509468078613,"[65.40358937139578, 54.021650482939926]","[78.08655918580997, 57.55789839267566]","[317.07423916390553, 88.40618967335348]",False,True
0.3548128604888916,"[68.74283694706035, 55.00693627208139]","[82.09982756875266, 58.94807985707278]","[333.92475756645666, 98.52857891414673]",False,True
0.4048278331756592,"[72.21776543589303, 56.07297408159065]","[86.11747979648558, 60.3371258823205]","[347.4928488832672, 106.60378095092577]",False,True
0.45482707023620605,"[75.80010965960761, 57.245718362770646]","[90.12948706312923, 61.9366962198429]","[358.2344223714579, 117.27442811799966]",False,True
0.5048298835754395,"[79.46926247313948, 58.50352708597651]","[94.14587436088203, 63.53476292727792]","[366.9152813531859, 125.7808723205864]",False,True
0.5548410415649414,"[83.20634230721488, 59.87625860369338]","[98.15466242713984, 65.367185897845]","[373.70798340754, 137.2731517716874]",False,True
0.6048240661621094,"[86.9986745889622, 61.34058508192965]","[102.16800468031688, 67.19789257879584]","[379.23322817473166, 146.43264782362726]",False,True
0.6548018455505371,"[90.83336578095337, 62.92768083681613]","[106.1721317308138, 69.2760659070592]","[383.4691191991166, 158.70957548864794]",False,True
0.704819917678833,"[94.70290242320127, 64.61263200993194]","[110.18105044116045, 71.35243936086972]","[386.95366422478907, 168.4951173115818]",False,True
0.7548379898071289,"[98.59822077601874, 66.42587799180056]","[114.17949596329784, 73.67886537258644]","[389.53183528174736, 181.32459818686183]",False,True
0.8051309585571289,"[102.51516478173552, 68.34140425320594]","[118.1829429878184, 76.00351381312427]","[391.6944005716781, 191.55262614053734]",False,True
0.856071949005127,"[106.44714485092312, 70.38733982783195]","[122.17506781669368, 78.57108806795033]","[393.19800691875975, 204.59355746260152]",False,True
0.907263994216919,"[110.39217577628267, 72.53726854927339]","[126.17230280574074, 81.1369913423985]","[394.50309253595464, 214.99287214414403]",False,True
0.9580740928649902,"[114.34530755709149, 74.8158605755676]","[130.15783881291452, 83.93023932829635]","[395.3131780808811, 227.85920262942022]",False,True
1.0093560218811035,"[118.30593194811875, 77.19708292844737]","[134.1484346729588, 86.72198691361723]","[396.0624391027266, 238.12223528797708]",False,True
1.0614628791809082,"[122.27024121691797, 79.70137338593652]","[138.12748475636582, 89.7185555159592]","[396.43092687992066, 250.42904574891423]",False,True
1.113210916519165,"[126.23846025218472, 82.30386087305313]","[142.11134451961365, 92.71383975537992]","[396.8219035266749, 260.2487487116606]",False,True
1.1663639545440674,"[130.2076418167518, 85.02029103053643]","[146.08437826537747, 95.88605395338313]","[396.91815645670715, 271.64301574833075]",False,True
1.2190279960632324,"[134.17846088477916, 87.82766590369819]","[150.0617498225504, 99.05722924105599]","[397.081906802737, 280.73748731617616]",False,True
1.2703790664672852,"[138.14868255977677, 90.7368232786234]","[154.02958451811864, 102.37355273857965]","[397.0221674997626, 290.91573749252154]",False,True
1.3223659992218018,"[142.1191551856898, 93.72724568809957]","[158.001062617806, 105.68909926567008]","[397.0472625913037, 299.0422409476173]",False,True
1.3751389980316162,"[146.07050985009556, 96.79103342888018]","[161.9648236099663, 109.11538463539303]","[395.1354664405751, 306.3787740780607]",False,True
1.4261338710784912,"[149.98819903000572, 99.89775364533675]","[165.93154510202535, 112.5413273882257]","[391.76891799101645, 310.6720216456561]",False,True
1.4783260822296143,"[153.87157547971574, 103.04725938026682]","[169.8930726551879, 116.04217394981505]","[388.33764497100407, 314.9505734930071]",False,True
1.5306260585784912,"[157.727920401513, 106.2298059831195]","[173.85645437852878, 119.54293014632191]","[385.6344921797253, 318.2546602852687]",False,True
1.5831279754638672,"[161.55929882395787, 109.44236546591459]","[177.8171329428198, 123.0815625576808]","[383.13784224448904, 321.2559482795081]",False,True
1.6340758800506592,"[165.37202884377461, 112.67703528730596]","[181.77858367975526, 126.62044462293551]","[381.2730019816732, 323.46698213913663]",False,True
1.6848528385162354,"[169.1051078794252, 116.00331248327818]","[185.42715742537203, 130.65980877972507]","[373.3079035650577, 332.627719597223]",False,True
1.7350997924804688,"[172.80512469783562, 119.36632818446925]","[188.4620911620818, 134.6948860810127]","[370.0016818410446, 336.3015701191068]",False,True
1.7869648933410645,"[176.59451492153653, 116.10434696777524]","[190.88062403485853, 138.73178603959158]","[378.93902237009047, -326.1981216694012]",False,True
1.8392279148101807,"[179.193267553442, 120.37593729916786]","[192.85061158346255, 142.8498273148349]","[259.8752631905473, 427.1590331392612]",False,True
1.8913648128509521,"[181.70562862777203, 124.69890399041248]","[194.50267256699314, 146.8257397247557]","[251.23610743300134, 432.29666912446163]",False,True
1.9445550441741943,"[184.17933451455485, 129.04410575170084]","[196.15223441961234, 150.87582815317634]","[247.37058867828154, 434.5201761288372]",False,True
1.997215986251831,"[188.12154271065936, 132.11965345625418]","[197.81745087271278, 154.9255175909725]","[394.2208196104503, 307.55477045533405]",False,True
2.04907488822937,"[190.1197731712275, 136.70300094118326]","[199.48372002505138, 158.98997482462735]","[199.8230460568164, 458.3347484929087]",False,True
2.1001510620117188,"[192.30776811822773, 141.19885205446954]","[201.21856020625174, 163.02549082494122]","[218.7994947000208, 449.58511132862674]",False,True
2.1522269248962402,"[194.48822029407134, 145.698366185584]","[202.96487084554784, 167.0759680845487]","[218.04521758435996, 449.95141311144647]",False,True
2.2040719985961914,"[196.45983845780103, 150.29322427984718]","[204.76367466812636, 171.12453472199925]","[197.16181637296782, 459.4858094263166]",False,True
2.2555248737335205,"[198.38002272218773, 154.9098130054596]","[206.6099143605062, 175.17099483380807]","[192.01842643867167, 461.65887256124165]",False,True
2.3081419467926025,"[200.31422718037172, 159.5205452862634]","[208.5205849032732, 179.21695790148365]","[193.4204458183974, 461.0732280803812]",False,True
2.3598389625549316,"[202.28621824504233, 164.1152433474182]","[210.48686344402014, 183.2619753753592]","[197.19910646706074, 459.4698061154796]",False,True
2.410364866256714,"[204.30772500804323, 168.68837240979633]","[212.5317342653483, 187.30590523086087]","[202.15067630008969, 457.31290623781365]",False,True
2.4620859622955322,"[206.37494129036347, 173.22050154633706]","[214.64153158549942, 191.34874417602904]","[206.72162823202353, 453.2129136540725]",False,True
2.5131828784942627,"[208.46822763062244, 177.65458185181657]","[216.84038422694206, 195.39071317219475]","[209.32863402589618, 443.40803054795134]",False,True
2.5659549236297607,"[210.59690793209555, 182.0101669361814]","[219.11116250466648, 199.43238449680172]","[212.86803014730975, 435.55850843648454]",False,True
2.6171069145202637,"[212.773206078545, 186.3027792808046]","[221.47817004092417, 203.4731491151405]","[217.6298146449448, 429.26123446231884]",False,True
2.6690969467163086,"[215.0028093802988, 190.54486873398068]","[223.92111489877541, 207.5131732839763]","[222.96033017538036, 424.20894531760734]",False,True
2.7202680110931396,"[217.295131597749, 194.74642037068088]","[226.46438138399395, 211.55258877542283]","[229.23222174501774, 420.1551636700216]",False,True
2.772106885910034,"[219.65319987977196, 198.91544267364387]","[229.0854778894776, 215.59150131284622]","[235.8068282022957, 416.90223029629857]",False,True
2.824086904525757,"[222.08410143197, 203.0583590083444]","[231.80774447730604, 219.62999572083632]","[243.09015521980257, 414.29163347005516]",False,True
2.875403881072998,"[224.58874143291416, 207.1803214751854]","[234.60736419029814, 223.66814006250223]","[250.4640000944165, 412.196246684097]",False,True
2.9276609420776367,"[227.17217309142166, 211.28546256362404]","[237.505984886604, 227.70598895823048]","[258.3431658507493, 410.5141088438648]",False,True
2.9801018238067627,"[229.8335870549568, 215.37709692994153]","[240.47934760095828, 231.74358624688725]","[266.1413963535157, 409.16343663174865]",False,True
3.032214879989624,"[232.57623068908754, 219.4578831743142]","[243.54692588696048, 235.78096712024856]","[274.2643634130723, 408.07862443726583]",False,True
3.084420919418335,"[235.39792662560367, 223.52995356750725]","[246.68484213109954, 239.8181598351194]","[282.1695936516144, 407.20703931930524]",False,True
3.1364619731903076,"[238.30033396177612, 227.5950180817754]","[249.91009987589095, 243.85518708649616]","[290.240733617245, 406.50645142681657]",False,True
3.189114809036255,"[241.25907165752545, 231.6256346915325]","[253.1999106952784, 247.89206710912188]","[295.87376957493336, 403.0616609757096]",False,True
3.2410948276519775,"[244.26938408728716, 235.6178794350429]","[256.5689486145671, 251.92916031878391]","[301.03124297617217, 399.22447435104084]",False,True
3.292200803756714,"[247.32693792391686, 239.57405986116186]","[259.99596286086893, 255.9663082785763]","[305.7553836629681, 395.618042611895]",False,True
3.344115972518921,"[250.42955661198172, 243.49499805461087]","[263.4928424120864, 260.0035208020279]","[310.2618688064858, 392.09381934490057]",False,True
3.3954601287841797,"[253.57308419402852, 247.3832153060884]","[267.04054851583504, 264.0408832282454]","[314.3527582046811, 388.8217251477538]",False,True
3.4484920501708984,"[256.7552053143158, 251.23991133300598]","[270.64863610508826, 268.0784440070529]","[318.2121120287245, 385.6696026917562]",False,True
3.501452922821045,"[259.97211956986075, 255.06763412282695]","[274.30033201375375, 272.1162793966325]","[321.6914255544973, 382.77227898209725]",False,True
3.5544798374176025,"[263.2215528135859, 258.8677897372067]","[278.00308155436994, 276.1544338607578]","[324.9433243725145, 380.01556143797325]",False,True
3.608071804046631,"[266.50014731768744, 262.64281519309003]","[281.7424549822919, 280.1929739530378]","[327.85945041015367, 377.5025455883364]",False,True
3.659315824508667,"[269.805779380897, 266.394187714431]","[285.52408941291503, 284.2319396242366]","[330.56320632095174, 375.13725213409407]",False,True
3.711169958114624,"[273.135556364107, 270.1241454071682]","[289.3358530301507, 288.27138777815316]","[332.97769832100283, 372.99576927372397]",False,True
3.7631568908691406,"[276.48756235335026, 273.83413934409214]","[293.18189030551616, 292.31135363562487]","[335.20059892432477, 370.99939369239024]",False,True
3.815138101577759,"[279.8593522093699, 277.52616214291675]","[297.0522269798764, 296.3518849944948]","[337.1789856019616, 369.2022798824607]",False,True
3.867734909057617,"[283.2492404925577, 281.2015745856027]","[300.94981884384595, 300.39301238159]","[338.98882831878245, 367.54124426859784]",False,True
3.9199059009552,"[286.6551906018577, 284.8621077523939]","[304.86664324221874, 304.43477533598013]","[340.59501093000085, 366.05331667912225]",False,True
3.9710919857025146,"[290.07574863159317, 288.508994368819]","[308.80474197064245, 308.4771999132343]","[342.05580297354663, 364.68866164250693]",False,True
4.023158073425293,"[293.5092384762744, 292.14370848819556]","[312.75779990366647, 312.52031839000034]","[343.34898446812383, 363.4714119376564]",False,True
4.07509708404541,"[296.9544260856939, 295.7673367243666]","[316.72718015813217, 316.5641526979944]","[344.51876094195393, 362.362823617107]",False,True
4.1270787715911865,"[300.40994607670604, 299.3811132620546]","[320.7080166701348, 320.60872888337775]","[345.5519991012152, 361.37765376880253]",False,True
4.179105997085571,"[303.87476569036414, 302.9859744704263]","[324.70118613150237, 324.6540651738385]","[346.4819613658126, 360.48612083716944]",False,True
4.231101989746094,"[307.34778303812544, 306.5829384406011]","[328.7030175557379, 328.7001823781908]","[347.3017347761318, 359.6963970174765]",False,True
4.283080816268921,"[310.8281455755631, 310.17279580851584]","[332.7140515270731, 332.74709547369156]","[348.0362537437679, 358.98573679147853]",False,True
4.335660934448242,"[314.3149737641137, 313.7563734218065]","[336.7315762689977, 336.7948209480971]","[348.6828188550593, 358.35776132906125]",False,True
4.389872789382935,"[317.8075769644973, 317.33432286586077]","[340.7559089246101, 340.84337099879974]","[349.260320038361, 357.79494440543124]",False,True
4.442223787307739,"[321.305267905539, 320.9072988569204]","[344.7850877617725, 344.89275863476036]","[349.7690941041716, 357.29759910596465]",False,True
4.494151830673218,"[324.8075063568349, 324.47581748428104]","[348.8192874489631, 348.9429937715765]","[350.2238451295897, 356.85186273606075]",False,True
4.546260833740234,"[328.3137703261647, 328.04038090108025]","[352.8571180539377, 352.9940867102449]","[350.6263969329798, 356.45634167992205]",False,True
4.598517894744873,"[331.82363160251, 331.601402272388]","[356.89866761787874, 357.04604550054836]","[350.9861276345325, 356.1021371307732]",False,True
4.651066780090332,"[335.3366428594619, 335.1593161703592]","[360.942971756388, 361.0988781164585]","[351.3011256951919, 355.79138979712314]",False,True
4.703399896621704,"[338.8523790893764, 338.7145374249273]","[364.9900692775485, 365.15259055885116]","[351.57362299144967, 355.5221254568069]",False,True
4.756242990493774,"[342.3704185471245, 342.2674795566101]","[369.03930538889443, 369.2071884104353]","[351.80394577480445, 355.29421316828297]",False,True
4.8090879917144775,"[345.8904373860453, 345.8184606605844]","[373.0906925158497, 373.262676242551]","[352.00188389208034, 355.0981103974249]",False,True
4.861155986785889,"[349.41218782839957, 349.36772442345057]","[377.14379428074335, 377.3190589315069]","[352.17504423542977, 354.9263762866178]",False,True
4.913114786148071,"[352.93548838771414, 352.9154494148419]","[381.19860974753385, 381.3763406560711]","[352.33005593145657, 354.7724991391295]",False,True
4.964858055114746,"[356.460173258162, 356.4617990900375]","[385.2548543922729, 385.4345251449561]","[352.4684870447845, 354.6349675195644]",False,True
5.01521897315979,"[359.9860953999272, 360.00691862449423]","[389.3125227185735, 389.493615299938]","[352.59221417651963, 354.5119534456724]",False,True
5.068114995956421,"[363.5131136947594, 363.5509476057097]","[393.3714331915927, 393.5536137640964]","[352.7018294832188, 354.4028981215507]",False,True
5.120269060134888,"[367.04110320801806, 367.0940097663655]","[397.4315792354746, 397.6145227744174]","[352.79895132586506, 354.30621606557935]",False,True
5.173169851303101,"[370.5699488878362, 370.6362191977639]","[401.4928471856026, 401.67634442309026]","[352.88456798181085, 354.2209431398392]",False,True
5.225106954574585,"[374.09955061666807, 374.1776752727968]","[405.5552310363847, 405.7390805119873]","[352.9601728831877, 354.1456075032881]",False,True
5.276849985122681,"[377.6298183306998, 377.718467468099]","[409.6186610176384, 409.8027326950054]","[353.026771403173, 354.0792195302163]",False,True
5.327122926712036,"[381.16067400953904, 381.25867334989994]","[413.6831323108968, 413.86730239886646]","[353.08556788392383, 354.02058818009186]",False,True
5.379332780838013,"[384.69204821944226, 384.79836199539454]","[417.74860291837035, 417.93279091530167]","[353.13742099032476, 353.9688645494586]",False,True
5.433461904525757,"[388.22388075193516, 388.3375933366227]","[421.8150692231588, 421.99919936367394]","[353.1832532492927, 353.9231341228191]",False,True
5.487106084823608,"[391.75611830499173, 391.87642045867824]","[425.88250640457454, 426.0665287500434]","[353.22375530566006, 353.8827122055529]",False,True
