timestamp,particle_position,user_goal,velocity,collision,success
0.03469514846801758,"[53.170207439356446, 51.39661625917487]","[53.170207439356425, 51.39661625917485]","[317.02074393564465, 139.66162591748682]",False,True
0.09221720695495605,"[56.03967356249311, 52.629065294184365]","[56.03967356249309, 52.62906529418434]","[286.9466123136664, 123.24490350094915]",False,True
0.14801621437072754,"[59.07690475073924, 53.982006363014804]","[59.076904750739224, 53.98200636301478]","[303.7231188246133, 135.29410688304372]",False,True
0.2038593292236328,"[62.11729773977017, 55.23678797732417]","[62.11729773977016, 55.23678797732415]","[304.0392989030934, 125.47816143093637]",False,True
0.2591531276702881,"[65.15183323236234, 56.586261275032896]","[65.15183323236232, 56.58626127503288]","[303.4535492592161, 134.94732977087298]",False,True
0.3143351078033447,"[68.23118321829253, 57.79037279523279]","[68.23118321829251, 57.79037279523277]","[307.9349985930197, 120.41115201998926]",False,True
0.36985230445861816,"[71.28511533227262, 59.12830237086687]","[71.28511533227261, 59.12830237086685]","[305.3932113980101, 133.79295756340784]",False,True
0.42905497550964355,"[74.40435819619155, 60.27141619853488]","[74.40435819619154, 60.27141619853486]","[311.92428639189296, 114.31138276680083]",False,True
0.4935941696166992,"[77.48573406525783, 61.58587658144106]","[77.48573406525782, 61.58587658144104]","[308.1375869066283, 131.4460382906185]",False,True
0.5623271465301514,"[80.65119635151427, 62.66452405180737]","[80.65119635151426, 62.664524051807355]","[316.5462286256441, 107.86474703663086]",False,True
0.6184792518615723,"[83.76473106236229, 63.945601621326674]","[83.76473106236227, 63.94560162132665]","[311.35347108480187, 128.10775695193036]",False,True
0.6787829399108887,"[86.98085635670641, 64.96015447299033]","[86.9808563567064, 64.9601544729903]","[321.61252943441247, 101.4552851663646]",False,True
0.7476141452789307,"[90.1286430538689, 66.20097872814962]","[90.12864305386888, 66.2009787281496]","[314.77866971624894, 124.08242551592929]",False,True
0.8063023090362549,"[93.39746288766612, 67.15521966894208]","[93.39746288766611, 67.15521966894207]","[326.8819833797224, 95.42409407924606]",False,True
0.8620553016662598,"[96.57904964363516, 68.35232567881748]","[96.57904964363514, 68.35232567881746]","[318.15867559690395, 119.71060098754013]",False,True
0.9296293258666992,"[99.90022243008782, 69.25292436052752]","[99.90022243008781, 69.2529243605275]","[332.1172786452663, 90.0598681710041]",False,True
0.9996662139892578,"[103.1128183808034, 70.40628118407996]","[103.11281838080339, 70.40628118407993]","[321.2595950715583, 115.33568235524385]",False,True
2.070289134979248,"[106.48386135051041, 71.26209866147502]","[106.4838613505104, 71.262098661475]","[337.10429697070055, 85.5817477395057]",False,True
2.134650230407715,"[109.72269296270245, 72.3748518367636]","[109.72269296270244, 72.37485183676357]","[323.8831612192047, 111.27531752885692]",False,True
2.2001090049743652,"[113.13934348889666, 73.1961580547064]","[113.13934348889664, 73.19615805470639]","[341.66505261941984, 82.13062179428108]",False,True
2.269196033477783,"[116.39811561672506, 74.27414266269906]","[116.39811561672505, 74.27414266269903]","[325.877212782841, 107.7984607992656]",False,True
2.330381155014038,"[119.85476688326888, 75.07184246258788]","[119.85476688326887, 75.07184246258787]","[345.6651266543815, 79.76997998888227]",False,True
2.393010139465332,"[123.1261731503052, 76.1229449763928]","[123.12617315030519, 76.12294497639279]","[327.1406267036326, 105.1102513804926]",False,True
2.4600670337677,"[126.61632743181303, 76.9078981465032]","[126.61632743181302, 76.90789814650319]","[349.01542815078227, 78.49531701104046]",False,True
2.5149102210998535,"[129.89255497002722, 77.94135698834646]","[129.8925549700272, 77.94135698834643]","[327.62275382141723, 103.34588418432489]",False,True
